"country","date","dny","jaro_leto_podzim_zima","population_density","population","tests_performed","confirmed_per_day","gdp_per_person","gini","mortaliy_under5","median_age_2018","Christianity","Islam","Hinduism","Judaism","rozdil_doziti","prumer_temp","pocet_hodin","max_vitr"
Austria,"2020-05-26",pracovni_den,"1",107.2069267,8840521,5844.0,34,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,14.7500,24,"26 km/h"
Austria,"2020-05-28",pracovni_den,"1",107.2069267,8840521,8666.0,27,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,14.7500,24,"29 km/h"
Austria,"2020-05-29",pracovni_den,"1",107.2069267,8840521,6930.0,30,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,15.7500,24,"24 km/h"
Austria,"2020-05-30",vikend,"1",107.2069267,8840521,7841.0,46,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,15.7500,24,"21 km/h"
Austria,"2020-06-01",pracovni_den,"1",107.2069267,8840521,3286.0,26,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,19.0000,24,"21 km/h"
Austria,"2020-06-02",pracovni_den,"1",107.2069267,8840521,4558.0,12,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,18.2500,24,"33 km/h"
Austria,"2020-06-03",pracovni_den,"1",107.2069267,8840521,6580.0,34,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,21.0000,24,"8 km/h"
Austria,"2020-06-05",pracovni_den,"1",107.2069267,8840521,7983.0,55,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,15.2000,30,"7 km/h"
Austria,"2020-06-07",vikend,"1",107.2069267,8840521,3685.0,66,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,22.2000,30,"8 km/h"
Austria,"2020-06-08",pracovni_den,"1",107.2069267,8840521,5164.0,11,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,13.6667,18,"17 km/h"
Austria,"2020-06-09",pracovni_den,"1",107.2069267,8840521,6160.0,26,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,21.0000,12,"15 km/h"
Austria,"2020-06-10",pracovni_den,"1",107.2069267,8840521,5423.0,29,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,16.2500,24,"12 km/h"
Austria,"2020-06-14",vikend,"1",107.2069267,8840521,3864.0,26,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,20.6000,30,"45 km/h"
Austria,"2020-06-15",pracovni_den,"1",107.2069267,8840521,2830.0,54,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,16.5000,12,"31 km/h"
Austria,"2020-06-16",pracovni_den,"1",107.2069267,8840521,5030.0,14,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,18.0000,24,"26 km/h"
Austria,"2020-06-17",pracovni_den,"1",107.2069267,8840521,7915.0,20,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,22.3333,18,"9 km/h"
Austria,"2020-06-18",pracovni_den,"1",107.2069267,8840521,5312.0,48,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,16.0000,12,"44 km/h"
Austria,"2020-06-19",pracovni_den,"1",107.2069267,8840521,6203.0,52,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,19.6000,30,"30 km/h"
Austria,"2020-06-20",vikend,"1",107.2069267,8840521,6078.0,18,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,15.0000,24,"40 km/h"
Austria,"2020-06-21",vikend,"1",107.2069267,8840521,2376.0,39,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,13.8000,30,"38 km/h"
Austria,"2020-06-22",pracovni_den,"1",107.2069267,8840521,5216.0,28,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,21.3333,18,"27 km/h"
Austria,"2020-06-23",pracovni_den,"1",107.2069267,8840521,6673.0,41,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,17.0000,6,"27 km/h"
Austria,"2020-06-24",pracovni_den,"1",107.2069267,8840521,6111.0,28,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,21.0000,6,"12 km/h"
Austria,"2020-06-26",pracovni_den,"1",107.2069267,8840521,6199.0,58,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,23.2500,24,"9 km/h"
Austria,"2020-06-29",pracovni_den,"1",107.2069267,8840521,3855.0,43,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,18.6000,30,"35 km/h"
Austria,"2020-07-02",pracovni_den,"1",107.2069267,8840521,7834.0,109,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,24.0000,12,"15 km/h"
Austria,"2020-07-03",pracovni_den,"1",107.2069267,8840521,6805.0,115,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,23.0000,18,"25 km/h"
Austria,"2020-07-06",pracovni_den,"1",107.2069267,8840521,6301.0,56,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,24.0000,24,"33 km/h"
Austria,"2020-07-07",pracovni_den,"1",107.2069267,8840521,6044.0,92,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,19.3333,18,"22 km/h"
Austria,"2020-07-09",pracovni_den,"1",107.2069267,8840521,7507.0,94,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,23.2000,30,"6 km/h"
Austria,"2020-07-11",vikend,"1",107.2069267,8840521,8225.0,114,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,15.0000,12,"26 km/h"
Austria,"2020-07-16",pracovni_den,"1",107.2069267,8840521,10052.0,169,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,19.6000,30,"26 km/h"
Austria,"2020-07-17",pracovni_den,"1",107.2069267,8840521,8068.0,134,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,20.0000,12,"19 km/h"
Austria,"2020-07-18",vikend,"1",107.2069267,8840521,8677.0,82,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,14.2000,30,"32 km/h"
Austria,"2020-07-21",pracovni_den,"1",107.2069267,8840521,7164.0,102,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,24.6667,18,"4 km/h"
Austria,"2020-07-22",pracovni_den,"1",107.2069267,8840521,9081.0,170,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,23.0000,12,"9 km/h"
Austria,"2020-07-24",pracovni_den,"1",107.2069267,8840521,7810.0,124,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,26.5000,12,"9 km/h"
Austria,"2020-07-25",vikend,"1",107.2069267,8840521,7049.0,134,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,22.8000,30,"24 km/h"
Austria,"2020-07-26",vikend,"1",107.2069267,8840521,7008.0,86,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,25.0000,6,"27 km/h"
Austria,"2020-07-29",pracovni_den,"1",107.2069267,8840521,9434.0,105,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,25.0000,18,"18 km/h"
Austria,"2020-08-03",pracovni_den,"2",107.2069267,8840521,6341.0,96,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,21.0000,24,"21 km/h"
Austria,"2020-08-04",pracovni_den,"2",107.2069267,8840521,7124.0,85,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,17.3333,18,"22 km/h"
Austria,"2020-08-11",pracovni_den,"2",107.2069267,8840521,8750.0,194,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,24.6667,18,"8 km/h"
Austria,"2020-08-14",pracovni_den,"2",107.2069267,8840521,11924.0,303,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,24.5000,24,"6 km/h"
Austria,"2020-08-15",vikend,"2",107.2069267,8840521,5922.0,191,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,25.5000,12,"17 km/h"
Austria,"2020-08-17",pracovni_den,"2",107.2069267,8840521,5577.0,295,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,23.0000,12,"6 km/h"
Austria,"2020-08-18",pracovni_den,"2",107.2069267,8840521,13821.0,255,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,22.0000,24,"24 km/h"
Austria,"2020-08-22",vikend,"2",107.2069267,8840521,11746.0,191,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,28.0000,12,"32 km/h"
Austria,"2020-08-23",vikend,"2",107.2069267,8840521,7832.0,242,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,20.5000,12,"19 km/h"
Austria,"2020-08-28",pracovni_den,"2",107.2069267,8840521,14701.0,395,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,27.0000,6,"31 km/h"
Austria,"2020-08-29",vikend,"2",107.2069267,8840521,12799.0,181,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,22.6667,18,"8 km/h"
Austria,"2020-08-30",vikend,"2",107.2069267,8840521,11349.0,272,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,27.5000,12,"35 km/h"
Austria,"2020-09-01",pracovni_den,"2",107.2069267,8840521,12416.0,327,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,14.8000,30,"36 km/h"
Austria,"2020-09-06",vikend,"2",107.2069267,8840521,8018.0,290,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,18.0000,24,"9 km/h"
Austria,"2020-09-07",pracovni_den,"2",107.2069267,8840521,10398.0,520,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,15.5000,12,"16 km/h"
Austria,"2020-09-10",pracovni_den,"2",107.2069267,8840521,14971.0,580,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,25.0000,12,"13 km/h"
Austria,"2020-09-16",pracovni_den,"2",107.2069267,8840521,15331.0,780,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,27.0000,6,"9 km/h"
Austria,"2020-09-23",pracovni_den,"2",107.2069267,8840521,16617.0,832,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,20.0000,12,"23 km/h"
Austria,"2020-09-28",pracovni_den,"2",107.2069267,8840521,14493.0,609,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,11.0000,30,"21 km/h"
Austria,"2020-09-29",pracovni_den,"2",107.2069267,8840521,16586.0,772,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,12.5000,12,"26 km/h"
Austria,"2020-10-05",pracovni_den,"3",107.2069267,8840521,11895.0,923,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,15.2500,24,"33 km/h"
Austria,"2020-10-07",pracovni_den,"3",107.2069267,8840521,18589.0,1209,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,15.5000,24,"24 km/h"
Austria,"2020-10-10",vikend,"3",107.2069267,8840521,20016.0,896,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,17.5000,12,"29 km/h"
Austria,"2020-10-11",vikend,"3",107.2069267,8840521,13816.0,979,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,12.0000,6,"17 km/h"
Austria,"2020-10-12",pracovni_den,"3",107.2069267,8840521,13668.0,1028,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,8.5000,24,"30 km/h"
Austria,"2020-10-13",pracovni_den,"3",107.2069267,8840521,21708.0,1346,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,6.0000,24,"35 km/h"
Austria,"2020-10-14",pracovni_den,"3",107.2069267,8840521,17033.0,1552,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,8.0000,30,"50 km/h"
Austria,"2020-10-15",pracovni_den,"3",107.2069267,8840521,19813.0,1163,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,11.0000,6,"5 km/h"
Austria,"2020-10-16",pracovni_den,"3",107.2069267,8840521,20841.0,1747,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,8.4000,30,"21 km/h"
Austria,"2020-10-17",vikend,"3",107.2069267,8840521,24444.0,1672,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,8.0000,30,"27 km/h"
Austria,"2020-10-18",vikend,"3",107.2069267,8840521,11258.0,1121,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,10.0000,24,"21 km/h"
Austria,"2020-10-27",pracovni_den,"3",107.2069267,8840521,14112.0,3394,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,8.7500,24,"16 km/h"
Austria,"2020-10-29",pracovni_den,"3",107.2069267,8840521,24506.0,5627,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,13.0000,6,"30 km/h"
